HOTEL_DEPARTURE_DATE,COMMISSION_SHARE
8/21/2018,12.94
8/22/2018,13.61
8/23/2018,13.32
8/24/2018,13.51
8/25/2018,12.98
8/26/2018,13.25
8/27/2018,12.89
8/28/2018,13.44
8/29/2018,13.54
8/30/2018,13.34
8/31/2018,13.02
9/1/2018,12.92
9/2/2018,13.54
9/3/2018,13.25
9/4/2018,13.38
9/5/2018,13.43
9/6/2018,12.63
9/7/2018,13.13
9/8/2018,13.36
9/9/2018,12.77
9/10/2018,13.62
9/11/2018,13.59
9/12/2018,13.44
9/13/2018,13.24
9/14/2018,13.1
9/15/2018,12.66
9/16/2018,11.77
9/17/2018,12.91
9/18/2018,13.19
9/19/2018,13.33
9/20/2018,12.97
9/21/2018,13.19
9/22/2018,12.91
9/23/2018,11.38
9/24/2018,12.34
9/25/2018,13.35
9/26/2018,13.22
9/27/2018,13.08
9/28/2018,13.03
9/29/2018,13.13
9/30/2018,12.97
10/1/2018,12.65
10/2/2018,13.63
10/3/2018,13.12
10/4/2018,13.11
10/5/2018,13.15
10/6/2018,13.12
10/7/2018,13.28
10/8/2018,13.38
10/9/2018,13.58
10/10/2018,13.56
10/11/2018,13.16
10/12/2018,13.42
10/13/2018,12.88
10/14/2018,12.58
10/15/2018,13.17
10/16/2018,13.3
10/17/2018,13.27
10/18/2018,13.31
10/19/2018,13.36
10/20/2018,12.77
10/21/2018,13.08
10/22/2018,13.54
10/23/2018,13.53
10/24/2018,13.57
10/25/2018,13.46
10/26/2018,12.78
10/27/2018,13.35
10/28/2018,11.79
10/29/2018,13.52
10/30/2018,13.36
10/31/2018,13.46
11/1/2018,13.12
11/2/2018,12.06
11/3/2018,13
11/4/2018,12.84
11/5/2018,13.5
11/6/2018,13.52
11/7/2018,13.55
11/8/2018,13.47
11/9/2018,13.41
11/10/2018,13.08
11/11/2018,12.86
11/12/2018,11.53
11/13/2018,13.67
11/14/2018,13.55
11/15/2018,13.7
11/16/2018,13.39
11/17/2018,12.21
11/18/2018,12.72
11/19/2018,13.53
11/20/2018,13.6
11/21/2018,13.57
11/22/2018,13.43
11/23/2018,13.38
11/24/2018,13.3
11/25/2018,13.25
11/26/2018,13.47
11/27/2018,13.65
11/28/2018,13.62
11/29/2018,13.46
11/30/2018,13.39
12/1/2018,13.21
12/2/2018,12.96
12/3/2018,13.42
12/4/2018,13.25
12/5/2018,13.61
12/6/2018,13.47
12/7/2018,13.54
12/8/2018,13.22
12/9/2018,12.92
12/10/2018,13.45
12/11/2018,13.61
12/12/2018,13.58
12/13/2018,13.38
12/14/2018,13.44
12/15/2018,13.1
12/16/2018,13.19
12/17/2018,13.24
12/18/2018,13.54
12/19/2018,13.52
12/20/2018,13.56
12/21/2018,13.44
12/22/2018,13.03
12/23/2018,12.99
12/24/2018,11.6
12/25/2018,13.07
12/26/2018,12.58
12/27/2018,12.78
12/28/2018,12.85
12/29/2018,12.74
12/30/2018,13.18
12/31/2018,13.31
